"Serotype","Latitude","Longitude","Diagnosis.status","Animal.type","Species","Observation_date","Host_category"
"H5 HPAI",49.397414,0.201732,"Confirmed","Domestic","Unspecified Bird",2024-12-27,"poultry"
"H5 HPAI",49.3585,10.5473,"Confirmed","Domestic","Unspecified Bird",2024-12-23,"poultry"
"H5 HPAI",49.259543,0.518298,"Confirmed","Domestic","Unspecified Bird",2024-12-23,"poultry"
"H5N5 HPAI",69.9389,22.0472,"Confirmed","Wild","Unspecified Mammal",2024-12-19,"wild_mammal"
"H5 HPAI",-7.21658,-78.44998,"Confirmed","Domestic","Cattle",2024-12-17,"domestic_mammal"
"H5 HPAI",35.728056,126.731944,"Confirmed","Domestic","Duck",2024-12-13,"poultry"
"HPAI",33.916667,133.183333,"Confirmed","Domestic","Chicken",2024-12-08,"poultry"
"H5N5 HPAI",63.9465,-21.1677,"Confirmed","Domestic","Unspecified Bird",2024-12-02,"poultry"
"H5N5 HPAI",55.166667,-2,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-11-26,"wild_bird"
"H5N5 HPAI",46.25,-63.11,"Confirmed","Wild","Red Fox",2024-11-26,"wild_mammal"
"H5N5 HPAI",58.766,5.5488,"Confirmed","Wild","Laridae (Unidentified):Laridae (Incognita)(Laridae)",2024-11-24,"wild_bird"
"H7N6 HPAI",-45.38234,170.82806,"Confirmed","Domestic","Chicken",2024-11-23,"poultry"
"H7N3 LPAI",22.883611,120.200694,"Confirmed","Environmental sample","Unspecified Bird",2024-11-23,"environment"
"H7N3 LPAI",22.883611,120.200694,"Confirmed","Environmental sample","Unspecified Bird",2024-11-23,"environment"
"H5N5 HPAI",70.6174,29.7172,"Confirmed","Wild","Hooded Crow (Corvus Cornix)",2024-11-22,"wild_bird"
"H5N5 HPAI",66.06,-17.35,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-11-22,"wild_bird"
"H5N5 HPAI",64.15,-21.95,"Confirmed","Wild","Black Headed Gull (Chroicocephalus Ridibundus)",2024-11-20,"wild_bird"
"H5 HPAI",8.323667,-77.200839,"Confirmed","Domestic","Unspecified Bird",2024-11-19,"poultry"
"H5N5 HPAI",64.1,-21.91,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-11-19,"wild_bird"
"H5N5 HPAI",64.13,-21.93,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-11-19,"wild_bird"
"H5N5 HPAI",46.25,-63.11,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-11-18,"wild_bird"
"H5 HPAI",52.263154,5.538672,"Confirmed","Domestic","Unspecified Bird",2024-11-17,"poultry"
"H5N2 HPAI",49.021,-122.28,"Confirmed","Domestic","Unspecified Bird",2024-11-16,"poultry"
"H5N5 HPAI",64.14,-21.82,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-11-13,"wild_bird"
"H5N5 HPAI",56.84,-2.59,"Confirmed","Wild","Kite",2024-11-13,"wild_bird"
"H5N5 HPAI",54.47,-1.84,"Confirmed","Wild","Phasianus Colchicus (Common Pheasant) - Phasanidae",2024-11-13,"wild_bird"
"H5N5 HPAI",52.87,-0.24,"Confirmed","Wild","Barn Owl (Tyto Alba)",2024-11-11,"wild_bird"
"H5 HPAI",37,127.583,"Confirmed","Domestic","Duck",2024-11-07,"poultry"
"HPAI",35.566667,126.85,"Confirmed","Wild","Unspecified Bird",2024-11-05,"wild_bird"
"H5 HPAI",43.597029,-1.195882,"Confirmed","Domestic","Unspecified Bird",2024-11-05,"poultry"
"H5N5 HPAI",54.94,-1.9,"Confirmed","Wild","Kite",2024-11-04,"wild_bird"
"H5 HPAI",47.956704,-2.8741,"Confirmed","Domestic","Unspecified Bird",2024-11-01,"poultry"
"H5 HPAI",46.619067,2.954509,"Confirmed","Domestic","Unspecified Bird",2024-11-01,"poultry"
"H5N5 HPAI",64.15,-21.95,"Confirmed","Wild","Laridae (Unidentified):Laridae (Incognita)(Laridae)",2024-11-01,"wild_bird"
"HPAI",-51.75,-57.97,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-10-31,"wild_bird"
"HPAI",-52.102,-60.84,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-10-31,"wild_bird"
"HPAI",-51.6927,-57.7741,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-10-30,"wild_bird"
"HPAI",-52.43,-59.12,"Confirmed","Wild","South American Sea Lion (Otaria Flavescens)",2024-10-30,"wild_mammal"
"H5N5 HPAI",43.65,-79.39,"Confirmed","Wild","Turkey Vulture (Cathartes Aura)",2024-10-30,"wild_bird"
"H5N3 LPAI",37.0505,140.887722,"Confirmed","Wild","Spot-Billed Duck:anas Poecilorhyncha(Anatidae)",2024-10-26,"wild_bird"
"H5 HPAI",47.612543,-2.435827,"Confirmed","Domestic","Unspecified Bird",2024-10-25,"poultry"
"H5N5 HPAI",56.94,-7.55,"Confirmed","Wild","Gull",2024-10-24,"wild_bird"
"H5N5 HPAI",53.32,-0.19,"Confirmed","Wild","Buzzard",2024-10-24,"wild_bird"
"H5 HPAI",47.634492,-2.456869,"Confirmed","Domestic","Unspecified Bird",2024-10-23,"poultry"
"H5 HPAI",47.94514,-2.801337,"Confirmed","Domestic","Unspecified Bird",2024-10-22,"poultry"
"H5N5 HPAI",62.104,-6.7198,"Confirmed","Wild","Hooded Crow (Corvus Cornix)",2024-10-21,"wild_bird"
"H5N5 HPAI",55.127,-1.523,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-20,"wild_bird"
"H5N5 HPAI",55.3306,-1.5783,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-20,"wild_bird"
"H5N5 HPAI",54.959,-1.438,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-20,"wild_bird"
"H5N5 HPAI",55.3306,-1.5783,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-10-20,"wild_bird"
"H5N5 HPAI",55.953333,-3.189167,"Confirmed","Wild","Northern Gannet:morus Bassanus(Sulidae)",2024-10-20,"wild_bird"
"H5N5 HPAI",58.0681,-6.805,"Confirmed","Wild","White Tailed Eagle (Haliaeetus Albicilla)",2024-10-20,"wild_bird"
"H5N5 HPAI",56.25,-3.2,"Confirmed","Wild","Gull",2024-10-20,"wild_bird"
"H5N5 HPAI",52.14,-1.92,"Confirmed","Wild","Buzzard",2024-10-18,"wild_bird"
"HPAI",66.7535,13.6133,"Confirmed","Wild","White Tailed Eagle (Haliaeetus Albicilla)",2024-10-15,"wild_bird"
"H5N5 HPAI",52.933333,1.3,"Confirmed","Wild","Great Cormorant (Phalacrocorax Carbo)",2024-10-13,"wild_bird"
"H5N5 HPAI",57.5,-5,"Confirmed","Wild","Northern Fulmar (Fulmarus Glacialis)",2024-10-13,"wild_bird"
"H5N5 HPAI",57.5,-5,"Confirmed","Wild","Northern Gannet:morus Bassanus(Sulidae)",2024-10-13,"wild_bird"
"H5N5 HPAI",54.91,-1.385,"Confirmed","Wild","Black Headed Gull (Chroicocephalus Ridibundus)",2024-10-13,"wild_bird"
"H5N5 HPAI",55.916667,-2.75,"Confirmed","Wild","Great Skua (Stercorarius Skua)",2024-10-13,"wild_bird"
"H5N5 HPAI",55.127,-1.523,"Confirmed","Wild","Haematopodidae (Unidentified):Haematopodidae (Incognita)(Haematopodidae)",2024-10-13,"wild_bird"
"H5N5 HPAI",53.916667,-0.5,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-13,"wild_bird"
"H5N5 HPAI",55.3306,-1.5783,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-10-13,"wild_bird"
"H5 HPAI",48.629736,-3.91038,"Confirmed","Domestic","Unspecified Bird",2024-10-12,"poultry"
"H5N5 HPAI",52.3,-3.8,"Confirmed","Wild","Mallard:anas Platyrhynchos(Anatidae)",2024-10-11,"wild_bird"
"H5N5 HPAI",47.585,-52.7,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-10-11,"wild_bird"
"HPAI",69.2679,17.54,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-10,"wild_bird"
"H5N5 HPAI",55.95,-3.1,"Confirmed","Wild","Sulids (Sulidae)",2024-10-10,"wild_bird"
"H5N5 HPAI",55,-1.43,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-09,"wild_bird"
"H5N5 HPAI",60.5873579468,-72.7290349649,"Confirmed","Wild","Ringed Seal (Pusa Hispida)",2024-10-09,"wild_mammal"
"H5N5 HPAI",58.36,-6.36,"Confirmed","Wild","White Tailed Eagle (Haliaeetus Albicilla)",2024-10-08,"wild_bird"
"HPAI",70.3731,30.9245,"Confirmed","Wild","Gull",2024-10-07,"wild_bird"
"HPAI",70.3731,30.9245,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-07,"wild_bird"
"H5N5 HPAI",63.98054,-20.98378,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-10-07,"wild_bird"
"H5 HPAI",-6.51035,-79.95674,"Confirmed","Domestic","Unspecified Bird",2024-10-07,"poultry"
"H5 HPAI",51.171007,2.773749,"Confirmed","Wild","Mew Gull (Larus Canus)",2024-10-05,"wild_bird"
"H5N5 HPAI",51.171007,2.773749,"Confirmed","Wild","Mew Gull (Larus Canus)",2024-10-05,"wild_bird"
"H5N5 HPAI",55.25,-1.56,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-04,"wild_bird"
"H5N5 HPAI",55.25,-1.56,"Confirmed","Wild","Gull",2024-10-04,"wild_bird"
"H5N5 HPAI",53.92,-0.36,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-04,"wild_bird"
"H5N5 HPAI",52.78,1.6,"Confirmed","Wild","Cormorant",2024-10-02,"wild_bird"
"H5N3 HPAI",35.920673,126.84683,"Confirmed","Environmental sample","Unspecified Env. Sample",2024-10-02,"environment"
"H5N5 HPAI",52.58,0.66,"Confirmed","Wild","Kite",2024-10-02,"wild_bird"
"H5N5 HPAI",55.08,-1.47,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-10-02,"wild_bird"
"H5N5 HPAI",54.9,-1.48,"Confirmed","Wild","Gull",2024-10-02,"wild_bird"
"H5N3 HPAI",35.89165,126.625969,"Confirmed","Wild","Northern Pintail (Anas Acuta)",2024-10-02,"wild_bird"
"H5N5 HPAI",53,7,"Confirmed","Wild","Unspecified Bird",2024-10-01,"wild_bird"
"H5N5 HPAI",65.58468,-14.0066,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-10-01,"wild_bird"
"H5 HPAI",41.968438,140.13612,"Confirmed","Wild","Peregrin Falcon:falco Peregrinus(Falconidae)",2024-09-30,"wild_bird"
"H5N5 HPAI",57.4717,-4.2254,"Confirmed","Wild","Great Skua (Stercorarius Skua)",2024-09-27,"wild_bird"
"H5 HPAI",48.629482,-3.882793,"Confirmed","Domestic","Unspecified Bird",2024-09-26,"poultry"
"H5N5 HPAI",63.96288,-16.87879,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-09-23,"wild_bird"
"H5N5 HPAI",63.96288,-16.87879,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-09-23,"wild_bird"
"H5 HPAI",48.5733,32.2902,"Confirmed","Domestic","Unspecified Bird",2024-09-22,"poultry"
"H5N5 HPAI",66.03703,-17.34614,"Confirmed","Wild","Black Headed Gull (Chroicocephalus Ridibundus)",2024-09-22,"wild_bird"
"H5N5 HPAI",66.03703,-17.34614,"Confirmed","Wild","Black Headed Gull (Chroicocephalus Ridibundus)",2024-09-22,"wild_bird"
"H5N5 HPAI",62.1177,-7.0425,"Confirmed","Wild","Common Raven (Corvus Corax)",2024-09-20,"wild_bird"
"H5N5 HPAI",57.56,-4.93,"Confirmed","Wild","Unspecified Bird",2024-09-20,"wild_bird"
"H5 HPAI",-6.77706,-79.90088,"Confirmed","Domestic","Unspecified Bird",2024-09-20,"poultry"
"H5N5 HPAI",55.168611,-1.6875,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-09-19,"wild_bird"
"H5 HPAI",-6.53707,-80.01142,"Confirmed","Domestic","Unspecified Bird",2024-09-19,"poultry"
"H5 HPAI",46.9605,32.0351,"Confirmed","Wild","Fulvous Whistling-Duck",2024-09-17,"wild_bird"
"H5 HPAI",-6.51388,-79.96298,"Confirmed","Domestic","Unspecified Bird",2024-09-17,"poultry"
"HPAI",-51.6958,-57.88218,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-09-11,"wild_bird"
"H5 HPAI",-6.851269,-79.84523,"Confirmed","Domestic","Unspecified Bird",2024-09-10,"poultry"
"H5 HPAI",-7.1159,-78.3203,"Confirmed","Domestic","Unspecified Bird",2024-09-10,"poultry"
"H5 HPAI",-6.37989,-79.76615,"Confirmed","Domestic","Unspecified Bird",2024-09-05,"poultry"
"H5 HPAI",-6.53844,-80.015359,"Confirmed","Domestic","Unspecified Bird",2024-09-02,"poultry"
"H5 HPAI",48.352024,-4.073544,"Confirmed","Domestic","Unspecified Bird",2024-08-31,"poultry"
"H5 HPAI",-6.51257,-79.96153,"Confirmed","Domestic","Turkey",2024-08-28,"poultry"
"H5 HPAI",-9.532609,-77.516175,"Confirmed","Domestic","Unspecified Bird",2024-08-27,"poultry"
"H5 HPAI",48.93074,14.21817,"Confirmed","Domestic","Chicken",2024-08-22,"poultry"
"H5 HPAI",-13.34115,-72.188955,"Confirmed","Domestic","Unspecified Bird",2024-08-20,"poultry"
"H5 HPAI",47.467476,-2.399521,"Confirmed","Domestic","Unspecified Bird",2024-08-19,"poultry"
"H5 HPAI",-6.49486,-79.9579,"Confirmed","Domestic","Unspecified Bird",2024-08-19,"poultry"
"H5N5 HPAI",62.282,-6.543,"Confirmed","Wild","Common Eider (Somateria Mollissima)",2024-08-14,"wild_bird"
"H5 HPAI",-8.361888,-78.716011,"Confirmed","Domestic","Unspecified Bird",2024-08-12,"poultry"
"H5N5 HPAI",57.81,-8.59,"Confirmed","Wild","Great Skua (Stercorarius Skua)",2024-08-07,"wild_bird"
"H5 HPAI",48.430502,-1.758148,"Confirmed","Domestic","Unspecified Bird",2024-08-07,"poultry"
"H5 HPAI",-16.675671,-71.858337,"Confirmed","Domestic","Unspecified Bird",2024-07-16,"poultry"
"H5N5 HPAI",60.33,-1.333333,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-07-15,"wild_bird"
"H7N6 HPAI",-32,24.4,"Confirmed","Domestic","Ostrich",2024-07-09,"poultry"
"H5 HPAI",-13.632779,-71.731683,"Confirmed","Domestic","Unspecified Bird",2024-07-08,"poultry"
"H7N8 HPAI",-33.5631,150.8018,"Confirmed","Domestic","Unspecified Bird",2024-07-08,"poultry"
"H5 HPAI",-16.635723,-71.862579,"Confirmed","Domestic","Chicken",2024-07-03,"poultry"
"H5 HPAI",-17.118688,-71.886074,"Confirmed","Domestic","Unspecified Bird",2024-07-01,"poultry"
"H5 HPAI",50.43,-104.62,"Confirmed","Wild","Unspecified Bird",2024-07-01,"wild_bird"
"H5N5 HPAI",44.66,-63.55,"Confirmed","Wild","Iceland Gull (Larus Glaucoides)",2024-07-01,"wild_bird"
"H5N5 HPAI",44.66,-63.55,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-07-01,"wild_bird"
"H5N5 HPAI",44.66,-63.55,"Confirmed","Wild","Great Black-Backed Gull (Larus Marinus)",2024-07-01,"wild_bird"
"H7N8 HPAI",-35.2386,149.0661,"Confirmed","Domestic","Unspecified Bird",2024-06-30,"poultry"
"H7N5 HPAI",52.35,7.07,"Confirmed","Domestic","Chicken",2024-06-29,"poultry"
"H7N8 HPAI",-33.5872,150.8112,"Confirmed","Domestic","Unspecified Bird",2024-06-28,"poultry"
"H5 HPAI",-6.60292,-79.90128,"Confirmed","Domestic","Unspecified Bird",2024-06-26,"poultry"
"H7N8 HPAI",-33.5798,150.7196,"Confirmed","Domestic","Unspecified Bird",2024-06-25,"poultry"
"H7N8 HPAI",-35.24,149.0673,"Confirmed","Domestic","Chicken",2024-06-24,"poultry"
"H7N8 HPAI",-33.5591,150.8029,"Confirmed","Domestic","Unspecified Bird",2024-06-24,"poultry"
"H7N3 HPAI",-37.9647,144.1395,"Confirmed","Domestic","Unspecified Bird",2024-06-23,"poultry"
"H7N8 HPAI",-33.5359,150.778,"Confirmed","Domestic","Unspecified Bird",2024-06-20,"poultry"
"H7N8 HPAI",-33.5631,150.8018,"Confirmed","Domestic","Chicken",2024-06-17,"poultry"
"H5 HPAI",-6.63257,-79.39659,"Confirmed","Domestic","Unspecified Bird",2024-06-14,"poultry"
"H7N3 HPAI",-37.9647,144.1395,"Confirmed","Domestic","Chicken",2024-06-13,"poultry"
"H5 HPAI",-6.75956,-79.78675,"Confirmed","Domestic","Unspecified Bird",2024-06-12,"poultry"
"H7N3 HPAI",-37.9647,144.1395,"Confirmed","Domestic","Duck",2024-06-10,"poultry"
"H7N3 HPAI",-37.9672,144.1332,"Confirmed","Domestic","Unspecified Bird",2024-06-03,"poultry"
"H5 HPAI",-7.741371,-79.289753,"Confirmed","Domestic","Unspecified Bird",2024-05-29,"poultry"
"H5 HPAI",-9.504655,-77.512695,"Confirmed","Domestic","Unspecified Bird",2024-05-27,"poultry"
"H5 HPAI",33.0055,88.6622,"Confirmed","Wild","Brown Headed Gull",2024-05-25,"wild_bird"
"H7N9 HPAI",-38.2404,142.9109,"Confirmed","Domestic","Unspecified Bird",2024-05-22,"poultry"
"H7N3 HPAI",-37.8442,144.0761,"Confirmed","Domestic","Chicken",2024-05-17,"poultry"
"H5 HPAI",-10.744422,-77.751515,"Confirmed","Domestic","Unspecified Bird",2024-05-10,"poultry"
"H7N3 HPAI",21.0351,-101.611,"Confirmed","Domestic","Unspecified Bird",2024-05-07,"poultry"
"H5 HPAI",-17.69,-71.35,"Confirmed","Wild","Black Skimmer",2024-05-06,"wild_bird"
"H7N3 HPAI",18.4765,-97.3863,"Confirmed","Domestic","Unspecified Bird",2024-05-06,"poultry"
"H7N3 HPAI",-37.8442,144.0761,"Confirmed","Domestic","Unspecified Bird",2024-05-03,"poultry"
"H7N3 HPAI",-37.9647,144.1395,"Confirmed","Domestic","Chicken",2024-05-03,"poultry"
"H7N3 HPAI",18.328774,-97.251079,"Confirmed","Domestic","Unspecified Bird",2024-05-03,"poultry"
"H5 HPAI",-7.139765,-78.508436,"Confirmed","Domestic","Unspecified Bird",2024-05-02,"poultry"
"H5 HPAI",-6.76018,-79.78584,"Confirmed","Domestic","Unspecified Bird",2024-05-01,"poultry"
"H5 HPAI",-7.11875,-79.5018,"Confirmed","Domestic","Unspecified Bird",2024-05-01,"poultry"
"H5N5 HPAI",43.0619,141.3544,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-04-30,"wild_bird"
"H5 HPAI",-7.1513,-78.46335,"Confirmed","Domestic","Unspecified Bird",2024-04-30,"poultry"
"H5N5 HPAI",43.0619,141.3544,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-04-30,"wild_bird"
"H5N5 HPAI",47.585,-52.7,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-04-29,"wild_bird"
"H7N3 HPAI",18.5656,-97.5245,"Confirmed","Domestic","Unspecified Bird",2024-04-25,"poultry"
"H5 HPAI",-6.76987,-79.8958,"Confirmed","Domestic","Unspecified Bird",2024-04-23,"poultry"
"H5 HPAI",-6.86758,-79.87044,"Confirmed","Domestic","Unspecified Bird",2024-04-23,"poultry"
"H5 HPAI",-12.298817,-76.902802,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-23,"wild_bird"
"H5 HPAI",-14.143,-76.235,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-23,"wild_bird"
"H5 HPAI",-14.21,-76.154966,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-23,"wild_bird"
"H5 HPAI",-17.705237,-71.379375,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-21,"wild_bird"
"H5 HPAI",-14.322312,-76.160373,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-21,"wild_bird"
"H5 HPAI",-14.29369,-76.184112,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-21,"wild_bird"
"H7N3 HPAI",18.488108,-97.403009,"Confirmed","Domestic","Unspecified Bird",2024-04-21,"poultry"
"H5 HPAI",-34.3,20.8,"Confirmed","Wild","Swift Tern (Thalasseus Bergii)",2024-04-20,"wild_bird"
"H5 HPAI",-12.136464,-75.225645,"Confirmed","Domestic","Unspecified Bird",2024-04-20,"poultry"
"H5N5 HPAI",44.361254,141.698418,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-04-17,"wild_bird"
"H5N5 HPAI",44.35,141.7,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-04-17,"wild_bird"
"H5 HPAI",-7.843908,-79.135434,"Confirmed","Domestic","Unspecified Bird",2024-04-17,"poultry"
"H5 HPAI",-6.492,-79.89059,"Confirmed","Domestic","Unspecified Bird",2024-04-16,"poultry"
"H5 HPAI",-14.148943,-76.232872,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-16,"wild_bird"
"H5 HPAI",-14.17244,-76.194671,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-10,"wild_bird"
"H5 HPAI",-7.13487,-78.505,"Confirmed","Domestic","Unspecified Bird",2024-04-09,"poultry"
"H5 HPAI",-11.376139,-75.57482,"Confirmed","Domestic","Unspecified Bird",2024-04-09,"poultry"
"H5N5 HPAI",46.81,-71.22,"Confirmed","Wild","American Crow (Corvus Brachyrhynchos)",2024-04-08,"wild_bird"
"H5 HPAI",-6.46688,-79.95826,"Confirmed","Domestic","Unspecified Bird",2024-04-05,"poultry"
"HPAI",-51.7,-57.85,"Confirmed","Wild","Unspecified Bird",2024-04-04,"wild_bird"
"HPAI",10.038098,106.063534,"Confirmed","Domestic","Chicken",2024-04-03,"poultry"
"H5 HPAI",-11.751999,-77.170264,"Confirmed","Wild","Peruvian Pelican (Pelecanus Thagus)",2024-04-02,"wild_bird"
"H5N5 HPAI",44.66,-63.55,"Confirmed","Wild","Marsh Harrier",2024-04-02,"wild_bird"
"H5 HPAI",-7.167847,-79.460827,"Confirmed","Domestic","Unspecified Bird",2024-04-01,"poultry"
"H7N3 HPAI",18.5011,-97.4627,"Confirmed","Domestic","Unspecified Bird",2024-03-30,"poultry"
"H5 HPAI",-7.84183,-79.144432,"Confirmed","Domestic","Unspecified Bird",2024-03-27,"poultry"
"H5 HPAI",-7.718854,-79.3196,"Confirmed","Domestic","Unspecified Bird",2024-03-27,"poultry"
"H5N5 HPAI",43.0619,141.3544,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-25,"wild_bird"
"HPAI",-63.614,-57.32,"Confirmed","Wild","Brown Skua (Stercorarius Antarcticus)",2024-03-20,"wild_bird"
"HPAI",-63.61,-57.32,"Confirmed","Wild","Brown Skua (Stercorarius Antarcticus)",2024-03-20,"wild_bird"
"H5N5 HPAI",55.58,-1.65,"Confirmed","Wild","Herring Gull:larus Argentatus(Laridae)",2024-03-19,"wild_bird"
"H5N5 HPAI",55.58,-1.65,"Confirmed","Wild","Peregrin Falcon:falco Peregrinus(Falconidae)",2024-03-19,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-19,"wild_bird"
"HPAI",-63.848,-57.392,"Confirmed","Wild","Brown Skua (Stercorarius Antarcticus)",2024-03-19,"wild_bird"
"H5N5 HPAI",43.0619,141.3544,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-17,"wild_bird"
"H5 HPAI",55.5996,13.2678,"Confirmed","Domestic","Unspecified Bird",2024-03-14,"poultry"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-12,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-11,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-09,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-08,"wild_bird"
"H5N5 HPAI",57.92,-4.09,"Confirmed","Wild","Kite",2024-03-07,"wild_bird"
"H5 HPAI",-12.194092,-77.001087,"Confirmed","Domestic","Unspecified Bird",2024-03-07,"poultry"
"HPAI",-62.39,-59.5,"Confirmed","Wild","Southern Elephant Seal (M. Leonina)",2024-03-07,"wild_mammal"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-06,"wild_bird"
"H5N2 HPAI",18.758571,-100.876535,"Confirmed","Domestic","Unspecified Bird",2024-03-06,"poultry"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-05,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-04,"wild_bird"
"H5N5 HPAI",55.96,-2.78,"Confirmed","Wild","Buzzard",2024-03-04,"wild_bird"
"HPAI",-54.01773,-37.61622,"Confirmed","Wild","South America Fur Seal (Arctophoca Australis)",2024-03-04,"wild_mammal"
"HPAI",-54.00444,-38.059,"Confirmed","Wild","Gentoo Penguin (Pygoscelis Papua)",2024-03-04,"wild_bird"
"HPAI",-54.5336,-36.10431,"Confirmed","Wild","King Penguin (Aptenodytes Patagonicus)",2024-03-04,"wild_bird"
"HPAI",-54.0044,-38.05,"Confirmed","Wild","Southern Elephant Seal (M. Leonina)",2024-03-04,"wild_mammal"
"HPAI",-54.0044,-38.05,"Confirmed","Wild","Brown Skua (Stercorarius Antarcticus)",2024-03-04,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-03,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-02,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-03-01,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-02-29,"wild_bird"
"H5 HPAI",-34,23.3,"Confirmed","Wild","Swift Tern (Thalasseus Bergii)",2024-02-29,"wild_bird"
"H5N5 HPAI",39.082,141.7092,"Confirmed","Wild","Large-Billed Crow (Corvus Macrorhynchos)",2024-02-28,"wild_bird"
"H5N8 HPAI",54.470038,9.51416,"Confirmed","Wild","Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)",2024-02-28,"wild_bird"
"H7N3 HPAI",20.655952,-101.371971,"Confirmed","Domestic","Unspecified Bird",2024-02-22,"poultry"
"H7N3 HPAI",22.636193,-101.70973,"Confirmed","Domestic","Unspecified Bird",2024-02-22,"poultry"
"H5 HPAI",69.3782,20.2765,"Confirmed","Wild","Red Fox",2024-02-21,"wild_mammal"
"H5 HPAI",58.7411,5.6814,"Confirmed","Wild","Falcon",2024-02-21,"wild_bird"
"H5 HPAI",-7.223148,-79.434035,"Confirmed","Domestic","Unspecified Bird",2024-02-21,"poultry"
